CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
DEUTNP,2000,36,b,97.6023980395071,3176.39760196049,2908,4121,4513,14816,0.000399022929313181,0.00299254750369996,0.0198542499497186,0.0510001281119639,0.149206355275017,0.00947582817580003,1,0,0
DEUTNP,2000,37,m,55.7957022495393,2002.20429775046,1922,1748,1270,6998,0.000444853828292974,0.00372860780855954,0.0292791434684573,0.0684938806564611,0.184801014793749,0.00920249432563043,1,0,0
DEUTNP,2000,37,f,44.5210365369615,986.478963463039,1174,2331,3425,7961,0.000373565435564562,0.00188097248771161,0.0145254990939408,0.0421647154528203,0.146527547841974,0.00991269869135949,1,0,0
DEUTNP,2000,37,b,100.316738786501,2988.6832612135,3096,4079,4695,14959,0.000410119830801003,0.0028156980811137,0.0211378121885587,0.0504803500530698,0.155223540442323,0.00956728629061775,1,0,0
DEUTNP,2000,38,m,63.3264105286183,2021.67358947138,1878,1734,1264,6961,0.000504895449289571,0.00376486452482936,0.028608861307889,0.0679453026649334,0.183927939133306,0.00915383866829285,1,0,0
DEUTNP,2000,38,f,42.4740923283656,969.525907671634,1181,2334,3287,7814,0.000356390013239755,0.00184864718458064,0.0146121076916049,0.0422189814958742,0.140623664162502,0.00972966054192728,1,0,0
DEUTNP,2000,38,b,105.800502856984,2991.19949714301,3059,4068,4551,14775,0.000432538825077976,0.00281806867714517,0.0208851962160211,0.0503442177043118,0.150462690639619,0.00944960591910404,1,0,0
DEUTNP,2000,39,m,59.2187514673025,2022.7812485327,1858,1750,1350,7040,0.000472145474200518,0.00376692726449578,0.0283041875985399,0.0685722489409651,0.196442023599655,0.0092577250717974,1,0,0
DEUTNP,2000,39,f,38.8919399633227,975.108060036677,1194,2398,3416,8022,0.000326333024171342,0.00185929097467627,0.0147729522301238,0.0433766570810224,0.146142511949835,0.00998865329758646,1,0,0
DEUTNP,2000,39,b,98.1106914306252,2997.88930856938,3052,4148,4766,15062,0.000401100959381586,0.0028243712818543,0.0208374040050004,0.0513342711498244,0.157570903886712,0.00963316171597597,1,0,0
DEUTNP,2000,40,m,57.5072268584209,2023.49277314158,1881,1723,1233,6918,0.000458499651246746,0.00376825230221328,0.0286545623642914,0.0675142771001616,0.179417048221018,0.00909729290436,1,0,0
DEUTNP,2000,40,f,40.4271481197696,1017.57285188023,1182,2376,3336,7952,0.000339214590914947,0.00194026087683589,0.014624480348414,0.0429787060986277,0.142719970686373,0.00990149227404731,1,0,0
DEUTNP,2000,40,b,97.9343749781905,3041.06562502181,3063,4099,4569,14870,0.000400380133779451,0.00286504855032313,0.02091250605089,0.0507278634144479,0.151057796864957,0.00951036480657036,1,0,0
DEUTNP,2000,41,m,59.9033613108551,2062.09663868915,1983,1823,1379,7307,0.000477603803382027,0.003840142405877,0.0302083982819723,0.0714326913253596,0.200661889291796,0.00960883481528744,1,0,0
DEUTNP,2000,41,f,47.0797167977064,1024.92028320229,1245,2564,3636,8517,0.000395034713470571,0.00195427061924706,0.0154039577273904,0.0463793781300006,0.155554500424356,0.0106050062497562,1,0,0
DEUTNP,2000,41,b,106.983078108562,3087.01692189144,3228,4387,5015,15824,0.000437373487447918,0.00290834018316346,0.0220390367392337,0.054292055818293,0.165803206670554,0.0101205119501795,1,0,0
DEUTNP,2000,42,m,61.957190841513,2064.04280915849,1980,1800,1320,7226,0.000493978790926554,0.00384376666460871,0.0301626972255699,0.0705314560535641,0.19207664529744,0.00950231837625114,1,0,0
DEUTNP,2000,42,f,41.4506202240676,1013.54937977593,1197,2592,3553,8397,0.000347802302077351,0.00193258910621172,0.0148100702005513,0.0468858611985029,0.152003613863514,0.0104555873522605,1,0,0
DEUTNP,2000,42,b,103.407811065581,3077.59218893442,3177,4392,4873,15623,0.000422756904687425,0.00289946095435843,0.0216908363446548,0.0543539341586376,0.161108479781777,0.00999195893564551,1,0,0
DEUTNP,2000,43,m,59.2187514673025,2079.7812485327,1975,1818,1348,7280,0.000472145474200518,0.0038730755957758,0.0300865287982326,0.0712367706140997,0.196150998379507,0.00957332933560867,1,0,0
DEUTNP,2000,43,f,44.5210365369615,1044.47896346304,1225,2454,3575,8343,0.000373565435564562,0.00199156420667163,0.0151565045912074,0.0443896232180271,0.152944812710966,0.0103883488483874,1,0,0
DEUTNP,2000,43,b,103.739788004264,3124.26021199574,3200,4272,4923,15623,0.000424114109153695,0.00294342782923221,0.0218478678951512,0.0528688539903688,0.162761552629938,0.00999195893564551,1,0,0
DEUTNP,2000,44,m,52.7149579535525,2095.28504204645,1972,1911,1351,7382,0.000420291346976184,0.00390194755735465,0.0300408277418302,0.0748808958435339,0.196587536209729,0.00970746114772847,1,0,0
DEUTNP,2000,44,f,41.4506202240676,1046.54937977593,1178,2518,3593,8377,0.000347802302077351,0.00199551198079242,0.0145749897211774,0.0455472988031753,0.153714884495245,0.0104306842026779,1,0,0
DEUTNP,2000,44,b,94.1655781776201,3141.83442182238,3150,4429,4944,15759,0.000384972353135158,0.00295998484265954,0.0215064949592894,0.0548118338771871,0.163455843226165,0.0100789400798078,1,0,0
DEUTNP,2000,45,m,52.0303481099999,2086.96965189,2022,1923,1448,7532,0.000414833017794675,0.00388646221017835,0.0308025120152032,0.0753511055505577,0.210702259386889,0.00990471381261051,1,0,0
DEUTNP,2000,45,f,40.9388841719186,1022.06111582808,1201,2527,3728,8519,0.000343508446496149,0.00194881889106243,0.0148595608277878,0.0457100969323368,0.159490422877337,0.0106074965647144,1,0,0
DEUTNP,2000,45,b,92.9692322819185,3109.03076771808,3223,4450,5176,16051,0.000380081392939882,0.00292907986617251,0.0220048994456476,0.0550717229066341,0.171126101241633,0.0102656937128622,1,0,0
DEUTNP,2000,46,m,54.7687874842104,2110.23121251579,1970,1897,1401,7433,0.00043666633452071,0.0039297810846239,0.0300103603708953,0.0743323178520062,0.20386316671342,0.00977452705378836,1,0,0
